u,v,length,name
5010343731,5979518599,1559.4148894827733,Vía 414
5010343731,5010306409,39.967206757175575,Vía 414
5010343731,5010343738,191.49113764706416,Calle Monte Sión
5010421361,927639075,24.084073476913716,Vía 414
5010421361,927639185,2238.2753482172866,Vía 414
5010421361,5010421364,393.1624173987127,Calle Bajo Las Minas
5010421364,5010421361,393.1624173987127,Calle Bajo Las Minas
5010421364,5541379569,263.3708404552751,Calle Bajo Las Minas
5010421364,7785752805,1408.592099832917,Clle Cruz Bata
5010422353,5010430885,18.22428736647735,Vía 414
5010422353,8866713506,1230.682531821114,Vía 414
5010422353,5010422349,68.30871565499557,Vía 414
5010422531,927639075,1169.9935256228537,Calle Quetzal
5010422531,5010483204,1047.874887241795,Calle Quetzal
5010422531,5541379569,794.395681680783,Calle San Martín
5010422537,8866697575,324.6817539555033,Vía 414
5010422537,927639075,356.878849868485,Vía 414
5010422537,5010422542,365.20672552904904,Calle Universidad
5010422542,5010422537,365.20672552904904,Calle Universidad
5010430885,5010422353,18.22428736647735,Vía 414
5010430885,5010422349,75.03155548816629,Vía 414
5010430885,5010430910,685.9046304315382,Sin nombre
5010475456,8715789742,1103.9647889296107,Calle Carolina
5010483204,5541386555,192.94222740993985,Calle Quetzal
5010483204,5010422531,1047.874887241795,Calle Quetzal
5010483204,5541388242,526.8781928573911,Sin nombre
5010483224,5010483320,1681.5513933535033,Calle Quetzal
5010483224,5541386555,498.88579119261817,Calle Quetzal
5010483224,5541388232,682.3414670892533,Sin nombre
5010483320,5010493713,3118.849793497032,Calle Quetzal
5010483320,5010483224,1681.5513933535028,Calle Quetzal
5010483320,5010483326,217.6941113133583,Sin nombre
5010483326,5010483320,217.6941113133583,Sin nombre
5010493713,5010504012,1234.517121673975,Calle Quetzal
5010493713,5010483320,3118.849793497033,Calle Quetzal
5010493713,5010503930,460.5981502363408,Sin nombre
5010503930,5010493713,460.59815023634064,Sin nombre
5010504012,5010493713,1234.5171216739752,Calle Quetzal
5010531451,8863460131,315.51755903998725,Vía 414
5010531451,927081521,1769.1969183082804,Vía 414
5010531451,5010531484,276.4674134744629,Calle Bajo Pacuare
5010551948,12165964467,986.2547900988249,Vía 414
5010551948,7732097827,383.1840478306629,Vía 414
5010551948,10287975756,2367.143853757602,Calle Rivel
5496925477,5979042185,2339.412565032693,Calle La Veintiseis
5496925477,5799978532,2261.0819637943378,Vía 225
5496925477,5794626311,304.1880443496834,Vía 225
5496926618,5496926640,853.8760334656109,Calle La Marta
5496926618,3206673537,812.2829685264763,Calle La Marta
5496926618,5794300721,179.50866830402202,Calle Zapote
5496926640,5499297834,1350.980114535716,Calle La Marta
5496926640,5496926618,853.8760334656108,Calle La Marta
5496926640,5794300721,1346.875954904718,Calle Zapote
5499297834,5496926640,1350.9801145357158,Calle La Marta
5541379569,5541379581,501.6867623649774,Calle Bajo Las Minas
5541379569,5010421364,263.3708404552751,Calle Bajo Las Minas
5541379569,5010422531,794.395681680783,Calle San Martín
5541379581,5541379569,501.6867623649774,Calle Bajo Las Minas
5541386555,5010483224,498.885791192618,Calle Quetzal
5541386555,5010483204,192.9422274099399,Calle Quetzal
5541386555,8866713506,3321.6106381183417,Sin nombre
5541388232,5010483224,682.3414670892535,Sin nombre
5541388242,5010483204,526.8781928573911,Sin nombre
5543380498,5979509897,286.94724859517464,Vía 414
5543380498,5979432094,1248.6713927713472,Vía 414
5543380498,5979509101,1986.5946163858655,Calle Los Ángeles
5543380631,12166517119,659.0140823295973,Vía 414
5543380631,5979509897,120.30218403126796,Vía 414
5543380631,12166517118,1307.3732501739141,Calle Las Delicias
5790358019,3206673615,157.60428163001143,Calle Puente Tapado
5790358020,5790943200,11.319634715156502,Calle La Marta
5790358020,7773991585,169.9239110957399,Calle La Marta
5790358020,8319010440,153.03134053279354,Calle Plaza Vieja
5790358029,8319010440,52.40980459761873,Calle Plaza Vieja
5790358032,3206673613,200.6631267387314,Calle La Ponciana
5790358032,5790358033,183.96161606106892,Sin nombre
5790358032,3206673598,828.421839498496,Calle La Ponciana
5790358033,5790358032,183.96161606106892,Sin nombre
5790943159,3206673537,18.271143615351775,Calle La Marta
5790943159,12168489953,23.298794253486882,Calle La Marta
5790943159,12168489961,36.89873926892457,Calle Gato
5790943200,5790358020,11.319634715156502,Calle La Marta
5790943200,8319010441,54.14697808907746,Calle La Marta
5790943200,7773984598,299.2428939631293,Calle Proyecto Miravalles
5794300721,5496926640,1346.875954904717,Calle Zapote
5794300721,5496926618,179.50866830402205,Calle Zapote
5794300721,12168490118,802.2629982255751,Calle Taque Taque Arriba 3
5799978532,5799978554,1407.9672568959788,Calle La Esperanza
5799978532,5496836575,1799.5843142066603,Vía 225
5799978532,5496925477,2261.0819637943378,Vía 225
5799978554,5799978773,3357.248524354807,Calle La Esperanza
5799978554,5799978532,1407.9672568959788,Calle La Esperanza
5799978554,5799979159,960.7840678151179,Calle Máquina Vieja
5799978773,5799978554,3357.248524354808,Calle La Esperanza
5799979159,5799978554,960.7840678151176,Calle Máquina Vieja
5979042185,5496925477,2339.4125650326914,Calle La Veintiseis
5979042185,3206673537,2453.2251144997213,Calle La Veintiseis
5979042185,12168489943,737.7656708818673,Calle Coto
5979432094,5543380498,1248.6713927713479,Vía 414
5979432094,8863460131,4601.526768445698,Vía 414
5979432094,6184892076,6943.873724678567,Calle San Rafael
5979497331,5010271815,1338.224235604728,Vía 414
5979497331,12166517119,391.37452526628823,Vía 414
5979497331,5979489197,1761.9669173083819,Calle La Mina
5979509101,5543380498,1986.5946163858662,Calle Los Ángeles
5979509897,5543380631,120.30218403126796,Vía 414
5979509897,5543380498,286.94724859517464,Vía 414
5979509897,8863416410,1372.8013271419213,Calle San Bernardo
5979518599,8858701705,394.7488407142675,Vía 414
5979518599,5010343731,1559.414889482773,Vía 414
5979518599,5979518572,582.1504781330558,Calle Las Colonias
5979548009,7725569620,1081.7220419005907,Calle Santa Cristina
5979548009,8858777539,5361.006208330812,Calle Los Arcángeles
5979548009,5979548002,201.72437326778504,Calle Santa Cristina
6184892076,8866894035,1363.7253946737783,Calle San Rafael
6184892076,5979432094,6943.873724678565,Calle San Rafael
6184892076,8866894044,3547.7244609375743,Calle San Vivente
7122907940,8863527521,306.24752462674496,Vía 414
7122907940,927081521,95.75062664721752,Vía 414
7122907940,7122925785,4702.904368004846,Calle Paso San Marcos
7122925785,7122907940,4702.904368004849,Calle Paso San Marcos
7122925785,9113567464,222.7061945031911,Calle Río Pacuare
7725569620,8858721008,2851.141322546846,Calle Santa Cristina
7725569620,5979548009,1081.7220419005912,Calle Santa Cristina
7725569620,8858721054,333.64418248137224,Calle Parcelas La Unión
7731921174,12163572108,2939.6527704499586,Calle Las Colonias
7731926287,457205736,545.0934487706163,Vía 414
7731926287,8858701705,1102.3030451539148,Vía 414
7731926287,7731925059,366.9932969829844,Calle Las Delicias
7731936711,12163572108,735.3781920241438,Calle Las Colonias
7731936711,5979518541,517.6030158562536,Calle Silencio
7731936711,5979545876,37.899772171564756,Calle Las Colonias
7732053015,5010272322,1958.6175227814124,Calle Santa Rosa
7732065739,5010299262,531.3388373405645,Calle Muñoz
7732097827,5010551948,383.18404783066296,Vía 414
7732097827,5010299188,626.102200897836,Vía 414
7732097827,7732083565,1135.7135877858639,Calle Rojas
7773979572,3206673546,1207.5506744483646,Calle Miravalles
