osmid,x,y,name
288654805,-83.6975649,9.9262225,Ubicacion 288654805
288654834,-83.7008414,9.9286863,Ubicacion 288654834
288654969,-83.6959054,9.9456292,Ubicacion 288654969
288654975,-83.6969631,9.9463475,Ubicacion 288654975
288655021,-83.7011305,9.9526881,Ubicacion 288655021
288655057,-83.7120411,9.9536895,Ubicacion 288655057
321772262,-83.712605,9.9052607,Ubicacion 321772262
321772275,-83.7061758,9.904247,Ubicacion 321772275
321772405,-83.6452709,9.8821438,Ubicacion 321772405
321772536,-83.6196479,9.9070299,Ubicacion 321772536
321772553,-83.6208336,9.913815,Ubicacion 321772553
321772581,-83.6052001,9.9201226,Ubicacion 321772581
321772640,-83.5881723,9.9347465,Ubicacion 321772640
321772661,-83.5750659,9.944259,Ubicacion 321772661
321772734,-83.5708968,9.9695526,Ubicacion 321772734
332473457,-83.6853414,9.9039254,Ubicacion 332473457
457205736,-83.606985,9.8503279,Ubicacion 457205736
457205743,-83.6106545,9.8496518,Ubicacion 457205743
457206178,-83.5653995,9.8541914,Ubicacion 457206178
471047481,-83.681983,9.9049929,Ubicacion 471047481
471047485,-83.6854293,9.906943,Ubicacion 471047485
471047486,-83.6834411,9.9040824,Ubicacion 471047486
471047487,-83.6850449,9.9066979,Ubicacion 471047487
471047489,-83.6827016,9.9045391,Ubicacion 471047489
471047493,-83.6809002,9.9048872,Ubicacion 471047493
471047495,-83.6844372,9.9024992,Ubicacion 471047495
471047504,-83.6838852,9.9048312,Ubicacion 471047504
471047505,-83.6831683,9.9052771,Ubicacion 471047505
471047507,-83.6828795,9.9064439,Ubicacion 471047507
479493800,-83.681649,9.9044268,Ubicacion 479493800
479493803,-83.6804787,9.9041709,Ubicacion 479493803
479493804,-83.6797513,9.9046225,Ubicacion 479493804
479493805,-83.6805384,9.9031521,Ubicacion 479493805
479493808,-83.679518,9.9042552,Ubicacion 479493808
479493809,-83.6787977,9.9047007,Ubicacion 479493809
479493811,-83.6778951,9.901468,Ubicacion 479493811
479493815,-83.6771552,9.9036637,Ubicacion 479493815
479493816,-83.6778956,9.9032324,Ubicacion 479493816
479493818,-83.6785605,9.902699,Ubicacion 479493818
479493819,-83.6774865,9.9034707,Ubicacion 479493819
479493821,-83.6785724,9.9043237,Ubicacion 479493821
479493822,-83.6793015,9.903894,Ubicacion 479493822
479493823,-83.6800348,9.9034494,Ubicacion 479493823
479493824,-83.6781345,9.9036029,Ubicacion 479493824
479493825,-83.6745498,9.900951,Ubicacion 479493825
479493829,-83.6750146,9.901025,Ubicacion 479493829
479493830,-83.6756473,9.8975545,Ubicacion 479493830
479493831,-83.6746238,9.9009607,Ubicacion 479493831
479493838,-83.6750691,9.8974835,Ubicacion 479493838
479493840,-83.6723318,9.9005623,Ubicacion 479493840
479493842,-83.6727498,9.896391,Ubicacion 479493842
479493843,-83.6723661,9.9000992,Ubicacion 479493843
479493844,-83.6746862,9.9003415,Ubicacion 479493844
479493846,-83.6753531,9.8998008,Ubicacion 479493846
479493847,-83.6724473,9.8994208,Ubicacion 479493847
479493848,-83.6748424,9.8991797,Ubicacion 479493848
479493850,-83.6725076,9.8988819,Ubicacion 479493850
479493851,-83.6725624,9.8983228,Ubicacion 479493851
479493852,-83.6749094,9.8986461,Ubicacion 479493852
479493854,-83.6754778,9.8987214,Ubicacion 479493854
479493855,-83.6726716,9.8972264,Ubicacion 479493855
479493856,-83.677294,9.8976822,Ubicacion 479493856
479493862,-83.6793037,9.8987313,Ubicacion 479493862
479493863,-83.6789138,9.9001889,Ubicacion 479493863
479493867,-83.6771849,9.9005034,Ubicacion 479493867
479493868,-83.6771527,9.9013462,Ubicacion 479493868
479493870,-83.6801448,9.9020304,Ubicacion 479493870
479493871,-83.6795555,9.8994842,Ubicacion 479493871
479493872,-83.6791541,9.8994908,Ubicacion 479493872
479493873,-83.6738728,9.9008312,Ubicacion 479493873
479493874,-83.6739314,9.9002568,Ubicacion 479493874
479493875,-83.672911,9.900673,Ubicacion 479493875
479493877,-83.6729694,9.9001657,Ubicacion 479493877
479493878,-83.6747782,9.8997288,Ubicacion 479493878
479493879,-83.686441,9.9073624,Ubicacion 479493879
479493880,-83.686028,9.9076201,Ubicacion 479493880
479493881,-83.6878143,9.9093932,Ubicacion 479493881
497089450,-83.6856343,9.9027324,Ubicacion 497089450
497089451,-83.6861173,9.9014862,Ubicacion 497089451
497089468,-83.6835176,9.8984607,Ubicacion 497089468
497089470,-83.6840218,9.9017228,Ubicacion 497089470
497089473,-83.6818918,9.9025364,Ubicacion 497089473
497089479,-83.6798742,9.8981547,Ubicacion 497089479
497089480,-83.6792263,9.8983973,Ubicacion 497089480
497089483,-83.6816799,9.8964868,Ubicacion 497089483
497089485,-83.681749,9.8969768,Ubicacion 497089485
497089487,-83.6818298,9.8973822,Ubicacion 497089487
497089488,-83.6808404,9.8979066,Ubicacion 497089488
497089489,-83.6795793,9.8973358,Ubicacion 497089489
497089490,-83.6808465,9.8976004,Ubicacion 497089490
497089492,-83.6809243,9.8978708,Ubicacion 497089492
497089493,-83.6791233,9.89614,Ubicacion 497089493
497089494,-83.6785725,9.8962168,Ubicacion 497089494
497089495,-83.6802694,9.8970748,Ubicacion 497089495
497089496,-83.6798665,9.8959133,Ubicacion 497089496
497089498,-83.6788172,9.8982593,Ubicacion 497089498
497089500,-83.6790555,9.8978694,Ubicacion 497089500
497089505,-83.6784327,9.8979856,Ubicacion 497089505
