name,lat,lon,nearest_node
Comunidad Cristiana Nazareth,9.9128754,-83.675885,1718439069
Maderos,9.940081,-83.9726587,417001418
Iglesia de Lourdes,9.8283524,-83.9077885,1283533658
Rancho Houston,9.8327213,-83.9095616,1283533499
Bocadito del Cielo,9.8955471,-83.7857763,321771991
Clínica Dental Dra Arias,9.8663981,-83.9181292,281363022
Consultorio Carlos Villanueva Barrantes,9.8658,-83.92296,281363041
Bar 1era Copa,9.8746401,-83.9328415,603899668
LavaCar Ricardo,9.8807245,-83.9348124,288586871
Bar Alexis,9.876303,-83.9350433,620070277
Clínica Dental OG,9.9213,-84.0005,542875754
Bar y restaurante Linda Vista,9.9503418,-83.8606897,1676552892
Mucap,9.9367997,-83.9060222,1125964431
Bar La Angelina,9.9030762,-83.9362285,1125980932
Bici Públi Cartago,9.8584341,-83.9131563,1968573986
Reflexiones,9.8586726,-83.9271733,480496882
Escuela El Pilón,9.9530466,-83.5892626,3264677528
Iglesia de Ujarrás,9.8281699,-83.8272612,1180344818
Pizza Daniela,9.861063,-83.9197084,450502911
ATH,9.8575593,-83.904953,1180196932
EBAIS Caballo Blanco,9.8520033,-83.9008266,1180183056
Correos de Costa Rica - Juan Viñas,9.8948439,-83.74639,479479066
Delegación Policial Juan Viñas,9.8948333,-83.7462039,479479072
Bar Adrián,9.8922472,-83.7464555,496245519
Iglesia de San Juan Sur,9.7912893,-84.0675297,3855774276
Pets House,9.9218336,-83.9966503,8865215541
Iglesia de Patio de Agua,9.8039394,-84.0115985,973196132
Delegación Policial de Pavones,9.9117522,-83.6192717,5010576719
Rancho Antojito Criollo,9.9203447,-83.5925246,12164727102
Fogon De Isa,9.8894213,-83.7908734,3931094374
Farmacia Cervantes,9.8857961,-83.8081195,321771865
Bar Y Restaurante Pele,9.8904362,-83.8006614,2331278552
Cafe Rey,9.8489106,-83.8453859,832409935
Cafe Rey,9.8448684,-83.8620036,2754576893
Bar El Atlantico,9.8422292,-83.8686207,498542799
Tapantí,9.6791008,-83.8930198,5952582507
Restaurant El Trailero,9.6834702,-83.895659,12198423927
Bar de Paco,9.8269074,-83.9526106,12650199069
Popo's,9.9008055,-83.6748018,479493831
Betico Mata Carne Asada,9.9032391,-83.6815764,1430564022
Academia Taekwondo Kum Gang,9.9050503,-83.68498,288651122
Clínica Dental,9.8651705,-83.9242835,452651222
Soda Apolo,9.8655732,-83.9229567,281363041
Quiropráctica Pozo,9.8641026,-83.916485,365287375
Clínica Dental,9.9086176,-83.9881242,278158522
Clínica Pediatrica,9.9086321,-83.9881926,278158522
Banco Nacional,9.8643507,-83.9122846,281363014
Soda Los Ángeles,9.8645815,-83.9127995,1600704097
La Puerta del Sol,9.8646739,-83.9134084,588818004
Soda Las Delicias de Mari,9.8648968,-83.9142577,588818012
Otero's Pizza,9.8648043,-83.9142719,588818012
El Rincón del Café,9.864818,-83.9143943,588818012
Farmacia Sucre,9.8655013,-83.9193355,281467482
Clínica Dental Drs. Meza,9.8655261,-83.9193607,281467482
Red Fist MMA,9.9086486,-84.0077231,276540039
Sáenz Renauld Laboratorios Clinicos,9.9093671,-84.0103677,277828652
